Nazwa,Numer,Id
Wilanowska,1,2226
Przemyska,2,2227
Przemyska,1,2228
Płocka,2,2229
Płocka,1,2230
Łostowice Świętokrzyska,2,2231
Focha,2,14522
Focha,1,14523
Źródlana,1,14528
Dolne Miasto,1,14529
Jasieńska,1,14532
Jasień PKM,1,14533
Jasieńska,3,14534
Piekarnicza,2,14535
Piekarnicza,1,14536
Belgradzka,2,14537
Belgradzka,1,14538
Warneńska,2,14539
Warneńska,1,14540
Kolumba,2,14541
Kolumba,1,14542
Brętowo PKM,2,14543
Brętowo PKM,1,14544
Budapesztańska,2,14545
Budapesztańska,1,14546
Migowo,1,14547
Gronostajowa,2,14548
Jasieńska,2,14549
Biblioteka Główna UG,2,14550
Biblioteka Główna UG,1,14551
Matarnia PKM,2,14553
Matarnia PKM,1,14554
Siedlce,4,14556
Siedlce,5,14557
Stadion,6,14562
Stadion,5,14563
Port Lotniczy,9,14564
Głęboka,02.,14565
Jaworzniaków,2,14585
Migowo,2,14587
Andruszkiewicza,2,14591
Ku Ujściu,5,14602
Worcella,2,14605
Chmielna,3,14621
Jagiełły,1,14651
Jagiełły,2,14652
Jana z Kolna,1,14653
Węzeł Groddecka,1,14655
Żabianka SKM,3,14660
Jelitkowo,90,14661
Stogi Plaża,2,14664
Toruńska,2,14693
Nad Stawem,2,14694
Legionów,5,14695
Nad Stawem,1,14696
Kokoszki,4,14698
Pomorskie Szkoły Rzemiosł,3,14712
Topazowa,2,14719
Topazowa,1,14720
Kolorowa,1,14721
Kolorowa,2,14722
Rzeźnicka,1,14759
Stężycka,1,14769
Zajezdnia WRZESZCZ,T2,14803
Zajezdnia WRZESZCZ,T1,14804
Kaczeńce,4,14813
Kaczeńce,3,14814
Królewskie Wzgórze,1,14815
Królewskie Wzgórze,2,14816
Łabędzia,2,14817
Łabędzia,1,14818
Stolema,1,14819
Stolema,2,14820
Zabornia,1,14821
Zabornia,2,14822
Zabornia,5,14823
Zabornia,6,14824
Lawendowe Wzgórze,1,14825
Ujeścisko,3,14827
Ujeścisko,1,14829
Ujeścisko,4,14830
Ujeścisko,6,14831
Królewskie Wzgórze,3,14833
Łabędzia,4,14834
Łabędzia,3,14835
Stolema,4,14836
Stolema,3,14837
Zabornia,4,14838
Zabornia,3,14839
Lessowa,3,14844
Lessowa,4,14845
Pokładowa,92,14846
Pokładowa,91,14847
Geodetów,1,14852
Brama Żuławska,5,14854
Kłosowa,1,14855
Maćkowy,1,14856
Europejskie Centrum Solidarności,2,14858
Piotrkowska,92,14859
Piotrkowska,91,14860
Oliwa PKP,93,14865
Poznańska,92,14866
