Nazwa,Numer,Id
Św. Wojciech,2,1223
Ptasia,2,1227
Ptasia,1,1228
Małomiejska,2,1229
Małomiejska,1,1230
Platynowa,3,1231
Platynowa,1,1232
Uranowa,1,1233
Dom Pomocy Społecznej,1,1234
Dom Pomocy Społecznej,2,1235
Zaroślak,3,1236
Zaroślak,4,1237
Cmentarna,1,1238
Stoczniowców,2,1239
Reformacka,1,1240
Wronki,1,1241
Grabowskiego,1,1243
Dragana - Kładka,1,1244
Dragana - Szkoła,1,1245
Cieszyńskiego,3,1246
Sikorskiego,3,1247
Pohulanka,3,1248
Pohulanka,4,1249
Odrzańska,3,1250
Odrzańska,4,1251
Worcella,1,1252
Drwęcka (n/ż),1,1253
Chałubińskiego,3,1254
Chałubińskiego,4,1255
Węzeł Elbląska,1,1256
Urząd Miejski,2,1260
Bema,1,1261
Zakopiańska,02.,1262
Zakopiańska,3,1263
Emaus,1,1264
Siedlce,6,1265
Zielony Stok,1,1266
Zielony Stok,2,1267
Pagórkowa,1,1268
Pagórkowa,2,1269
Myśliwska,1,1270
Myśliwska,2,1271
Lipowa,1,1272
Lipowa,2,1273
Damroki,1,1274
Damroki,2,1275
Zwierzyniecka,1,1276
Źródlana,2,1277
Jasień Działki,1,1278
Jasień Działki,2,1279
Węzeł Karczemki,1,1280
Węzeł Karczemki,2,1281
Karczemki,1,1282
Karczemki,2,1283
Inżynierska,1,1284
Inżynierska,2,1285
Fabryczna,1,1286
Kartuska,2,1287
Transportowców,1,1288
Transportowców,2,1289
Nowatorów,3,1290
Nowatorów,2,1291
Kokoszki - Poczta,1,1292
Kokoszki - Poczta,2,1293
Gronostajowa,1,1294
Pólnicy,2,1295
Unimor,1,1296
Unimor,2,1297
Centrostal,1,1298
Centrostal,2,1299
"Schronisko dla zwierząt ""Promyk""",1,1300
Instal,2,1301
Otomińska,1,1302
"Schronisko dla zwierząt ""Promyk""",2,1303
Kiełpino - Szkoła,1,1304
Otomińska,2,1305
Lawendowe Wzgórze,3,1306
Kiełpino - Szkoła,2,1307
Szkoła Podstawowa nr 6,1,1308
Emaus,3,1309
Cmentarz Łostowicki,2,1310
Cmentarz Łostowicki,1,1311
Kielecka,1,1312
Kielecka,2,1313
Przemyska,3,1314
Przemyska,4,1315
Płocka,3,1316
Płocka,4,1317
Łódzka,1,1318
Łódzka,2,1319
Niepołomicka,1,1320
Niepołomicka,2,1321
Przebiśniegowa,1,1322
Przebiśniegowa,2,1323
Przemian,1,1324
Przemian,2,1325
Starogardzka,3,1326
Starogardzka,1,1327
Hevelianum,1,1328
Hevelianum,2,1329
Płowce,1,1330
Płowce,2,1331
Wyczółkowskiego,1,1332
Wyczółkowskiego,2,1333
Wagnera,1,1334
Wagnera,2,1335
Otwarta,1,1336
Otwarta,2,1337
Kurpińskiego,1,1338
Kurpińskiego,2,1339
Nad Jarem,1,1340
Wileńska,1,1342
Park Naukowo - Technologiczny,1,1343
Park Naukowo - Technologiczny,2,1344
Jaśkowa Dolina,5,1345
Nowolipie,1,1346
Matejki,2,1347
Uphagena,1,1348
Siedlicka,2,1349
Siedlicka,1,1350
Kręta,2,1351
Kręta,1,1352
Jarowa,2,1353
Jarowa,1,1354
Pomorskie Szkoły Rzemiosł,2,1355
Pomorskie Szkoły Rzemiosł,1,1356
Schumana,2,1357
Schumana,1,1358
Schuberta,2,1359
Schuberta,1,1360
Na Wzgórzu,2,1361
Sobótki,1,1362
Falista,2,1363
Na Wzgórzu,1,1364
Strzelnica,2,1365
Falista,1,1366
Dobrowolskiego,2,1367
Strzelnica,1,1368
Piecewska,2,1369
Dobrowolskiego,1,1370
Warneńska,4,1371
Piecewska,1,1372
Budapesztańska,4,1373
Warneńska,3,1374
Budapesztańska,3,1376
Brętowo PKM,3,1378
Brętowo PKM,4,1379
Kolumba,3,1380
Kolumba,4,1381
Galeria Bałtycka,5,1382
Galeria Bałtycka,6,1383
Trawki,2,1389
Potokowa,1,1390
Potokowa,2,1391
Rybacka,1,1392
Potokowa,3,1393
Słowackiego Działki,1,1394
Słowackiego Działki,2,1395
Harfowa,1,1396
Harfowa,2,1397
Agrarna,1,1398
Agrarna,2,1399
Astronautów,1,1400
Astronautów,2,1401
Szybowcowa,1,1402
Szybowcowa,2,1403
Firoga,1,1404
Radarowa,1,1407
Ikara,1,1408
Radiowa,2,1409
Spadochroniarzy,2,1410
Agrarna,3,1411
Nowatorów,4,1413
Nowatorów,1,1414
Rakietowa,2,1415
Rakietowa,1,1416
Kosmonautów,2,1417
Kosmonautów,1,1418
Bysewo,4,1419
Bysewo,3,1420
"Ogrody Działkowe ""Rębiechowo"" II",2,1421
"Ogrody Działkowe ""Rębiechowo"" II",1,1422
"Ogrody Działkowe ""Rębiechowo"" I",2,1423
"Ogrody Działkowe ""Rębiechowo"" I",1,1424
Przyrodników,2,1425
Przyrodników,1,1426
Potokowa,4,1431
Ogrodowa,2,1433
Ogrodowa,1,1434
Dolne Młyny,2,1435
Dolne Młyny,1,1436
Potokowa - Matemblewska,2,1437
Potokowa - Matemblewska,1,1438
Podkarpacka,1,1439
Podkarpacka,2,1440
Kilińskiego,2,1441
Legionów,4,1442
Kopalniana,1,1443
Ciołkowskiego,1,1444
Drzewieckiego,1,1445
Korczaka,1,1446
Zaspa - Szpital,1,1447
Czarny Dwór,2,1448
Grudziądzka,5,1449
Lwowska,1,1450
Mickiewicza,6,1451
Biała,1,1452
Bora Komorowskiego,7,1453
Bora Komorowskiego,4,1454
Czerwony Dwór,5,1455
Czerwony Dwór,4,1456
Jagiellońska,2,1457
Jagiellońska,1,1458
Park Reagana,2,1459
Park Reagana,1,1460
Biały Dwór,2,1461
Biały Dwór,1,1462
Olsztyńska,2,1463
Olsztyńska,1,1464
Opolska,2,1465
Opolska,1,1466
Kołobrzeska,6,1467
Kołobrzeska,5,1468
Krynicka,2,1469
Krynicka,1,1470
Chłopska,1,1471
Obrońców Wybrzeża,1,1472
Obrońców Wybrzeża,2,1473
Przymorze Wielkie,1,1474
Przymorze Wielkie,2,1475
Czarny Dwór,1,1476
Czarny Dwór,3,1477
Leszczyńskich,1,1478
Zaspa - Szpital,2,1479
Rzeczypospolitej,1,1480
Leszczyńskich,2,1481
Dywizjonu 303,1,1482
Rzeczypospolitej,2,1483
Pilotów,1,1485
Pomorska,4,1487
Piastowska,5,1488
Piastowska,6,1489
Czerwony Dwór,3,1490
Dworska,3,1491
Dworska,4,1492
PCK,1,1493
PCK,2,1494
Brzeźno,5,1495
Brzeźno,4,1496
Zespół Szkół Morskich,1,1497
Zespół Szkół Morskich,2,1498
Wyzwolenia,1,1499
Wyzwolenia,2,1500
Nowy Port Zajezdnia,1,1501
Cystersów,2,1503
Cystersów,1,1504
Karwieńska,2,1505
Karwieńska,1,1506
Rynarzewo,2,1507
Rynarzewo,1,1508
Osowa Obwodnica,2,1509
Osowa Obwodnica,1,1510
Sopocka,2,1511
Sopocka,1,1512
Nowa,2,1513
Nowa,1,1514
Barniewicka,2,1515
Barniewicka,1,1516
Niedziałkowskiego,2,1517
Niedziałkowskiego,1,1518
Biwakowa,2,1519
Biwakowa,1,1520
Osowa PKP,2,1521
Osowa PKP,1,1522
Nowy Świat,2,1523
Nowy Świat,1,1524
Tysiąclecia,2,1525
Tysiąclecia,1,1526
Piastowska,4,1527
Piastowska,3,1528
Poznańska,1,1530
Oliwa Pętla Tramwajowa,6,1533
Oliwa Pętla Tramwajowa,8,1534
Sarnia,1,1535
Cmentarz Oliwski,2,1536
Bobrowa,1,1537
Bobrowa,2,1538
Czyżewskiego,1,1540
Brama Oliwska,4,1541
Brama Oliwska,3,1542
Cmentarz Oliwski,1,1545
Koziorożca,1,1546
Koziorożca,2,1547
Zeusa,1,1548
Zeusa,2,1549
Konkordii,1,1550
Konkordii,2,1551
Archikatedra Oliwska,1,1552
Jelitkowo Kapliczna,1,1553
Jelitkowo Kapliczna,2,1554
Jelitkowo,3,1555
Jelitkowo,4,1556
Startowa,3,1559
Startowa,4,1560
Barniewicka,3,1569
Pomorska - Osiedle,3,1570
Iławska,2,1571
Iławska,1,1572
Myśliborska,2,1573
Myśliborska,1,1574
Krzemowa,1,1579
al. Płażyńskiego,6,1580
Krasickiego,3,1589
Krasickiego,02.,1590
Plac Wolności,1,1591
Plac Wolności,2,1592
Jaśkowa Dolina,4,1593
Jaśkowa Dolina,3,1594
Teatr Miniatura / Radio Gdańsk,4,1595
Teatr Miniatura / Radio Gdańsk,3,1596
Opera Bałtycka,4,1597
Opera Bałtycka,5,1598
Uniwersytet Medyczny,4,1599
Uniwersytet Medyczny,3,1600
Mostek,2,1601
Kościuszki,5,1602
Łanowa II,1,1606
Zajezdnia,4,1607
Zajezdnia,3,1608
Wyspiańskiego,4,1609
Złota Karczma,2,1610
Mjr Słabego,2,1611
Kołobrzeska,3,1613
Kołobrzeska,4,1614
Żwirki i Wigury,3,1616
Kościuszki,4,1617
Legionów,3,1618
Obrońców Westerplatte,4,1619
Kościuszki,3,1620
Bażyńskiego,4,1621
Obrońców Westerplatte,3,1622
Uniwersytet Gdański,4,1623
Strzyża PKM,4,1625
Uniwersytet Gdański,3,1626
Zamenhofa,4,1627
Strzyża PKM,5,1628
Wojska Polskiego,4,1629
Zamenhofa,3,1630
Galeria Bałtycka,4,1631
Wojska Polskiego,5,1632
Emaus,4,1633
Galeria Bałtycka,7,1634
Emaus,2,1635
Galeria Bałtycka,3,1636
Sopocka,4,1637
Jednorożca,1,1638
Jednorożca,2,1639
Marynarki Polskiej,5,1640
